Number of COVID-19 Tests by Municipality of Residence and Week Excluding Congregate Settings Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Rhode Island Department of Health (RIDOH) Electronic Lab Reporting Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Data reflect number of tests (rather than number of people tested). Small numbers are shown as <5 in line with RIDOH's Small Numbers Policy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated:,1/20/2021,*The municipal test and municipal percent positive data are still being validated and will not be updated this week. Thank you for your patience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: We provide weekly data to help show broader trends over time. Fluctuations in these data may be due to a variety of factors, such as cyclical testing or people’s movement across municipalities. Please use caution when interpreting these data. Risk is associated with the characteristics of settings and the behaviors of people, not necessarily with a geographic location.
 
Residents in congregate care settings such as nursing homes, assisted living facilities, group homes, correctional facilities, and homeless shelters are intentionally excluded from these data. Because congregate care settings are not distributed equally across the state, and because spread within a congregate care setting does not correlate to spread within the community in which it resides, these tests have been excluded from this analysis in order to provide a more accurate picture of the general COVID-19 testing within a municipality. In any scenario in which it is unclear whether a test was for a congregate care resident or staff, that test is excluded from this analysis.
 
 -- Data prior to week 17 are not complete, as electronic systems for sharing negative test results were being developed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week of Result Date,BARRINGTON,BRISTOL,BURRILLVILLE,CENTRAL FALLS,CHARLESTOWN,COVENTRY,CRANSTON,CUMBERLAND,EAST GREENWICH,EAST PROVIDENCE,EXETER,FOSTER,GLOCESTER,HOPKINTON,JAMESTOWN,JOHNSTON,LINCOLN,LITTLE COMPTON,MIDDLETOWN,NARRAGANSETT,NEW SHOREHAM,NEWPORT,NORTH KINGSTOWN,NORTH PROVIDENCE,NORTH SMITHFIELD,PAWTUCKET,PORTSMOUTH,PROVIDENCE,RICHMOND,SCITUATE,SMITHFIELD,SOUTH KINGSTOWN,TIVERTON,WARREN,WARWICK,WEST GREENWICH,WEST WARWICK,WESTERLY,WOONSOCKET,UNKNOWN,TOTAL
3/1/20-3/7/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/8/20-3/14/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/15/20-3/21/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/22/20-3/28/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/29/20-4/4/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4/5/20-4/11/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4/12/20-4/18/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4/19/20-4/25/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4/26/20-5/2/20,128,198,191,590,48,275,"1,063",426,219,725,56,39,72,56,35,352,259,17,170,93,5,214,239,581,144,"1,300",127,"3,316",43,114,142,169,142,114,767,28,292,95,507,"1,034","14,385"
